ano,idade,sexo,area,total
2001,0 a 4 anos,Homem,Urbana,
2001,5 a 9 anos,Homem,Urbana,
2001,10 a 14 anos,Homem,Urbana,14
2001,15 a 19 anos,Homem,Urbana,19
2001,20 a 24 anos,Homem,Urbana,
2001,25 a 29 anos,Homem,Urbana,
2001,30 a 34 anos,Homem,Urbana,10
2001,35 a 39 anos,Homem,Urbana,
2001,40 a 44 anos,Homem,Urbana,
2001,45 a 49 anos,Homem,Urbana,
2001,50 a 54 anos,Homem,Urbana,
2001,55 a 59 anos,Homem,Urbana,
2001,60 a 64 anos,Homem,Urbana,
2001,65 a 69 anos,Homem,Urbana,
2001,70 a 74 anos,Homem,Urbana,
2001,75 a 79 anos,Homem,Urbana,
2001,80 a 100 anos,Homem,Urbana,
2001,0 a 4 anos,Mulher,Urbana,
2001,5 a 9 anos,Mulher,Urbana,
2001,10 a 14 anos,Mulher,Urbana,37
2001,15 a 19 anos,Mulher,Urbana,
2001,20 a 24 anos,Mulher,Urbana,
2001,25 a 29 anos,Mulher,Urbana,10
2001,30 a 34 anos,Mulher,Urbana,
2001,35 a 39 anos,Mulher,Urbana,23
2001,40 a 44 anos,Mulher,Urbana,
2001,45 a 49 anos,Mulher,Urbana,
2001,50 a 54 anos,Mulher,Urbana,
2001,55 a 59 anos,Mulher,Urbana,
2001,60 a 64 anos,Mulher,Urbana,11
2001,65 a 69 anos,Mulher,Urbana,
2001,70 a 74 anos,Mulher,Urbana,
2001,75 a 79 anos,Mulher,Urbana,
2001,80 a 100 anos,Mulher,Urbana,
2001,0 a 4 anos,Homem,Rural,
2001,5 a 9 anos,Homem,Rural,
2001,10 a 14 anos,Homem,Rural,
2001,15 a 19 anos,Homem,Rural,12
2001,20 a 24 anos,Homem,Rural,
2001,25 a 29 anos,Homem,Rural,
2001,30 a 34 anos,Homem,Rural,13
2001,35 a 39 anos,Homem,Rural,23
2001,40 a 44 anos,Homem,Rural,
2001,45 a 49 anos,Homem,Rural,
2001,50 a 54 anos,Homem,Rural,11
2001,55 a 59 anos,Homem,Rural,
2001,60 a 64 anos,Homem,Rural,13
2001,65 a 69 anos,Homem,Rural,
2001,70 a 74 anos,Homem,Rural,
2001,75 a 79 anos,Homem,Rural,
2001,80 a 100 anos,Homem,Rural,
2001,0 a 4 anos,Mulher,Rural,
2001,5 a 9 anos,Mulher,Rural,
2001,10 a 14 anos,Mulher,Rural,
2001,15 a 19 anos,Mulher,Rural,25
2001,20 a 24 anos,Mulher,Rural,
2001,25 a 29 anos,Mulher,Rural,
2001,30 a 34 anos,Mulher,Rural,
2001,35 a 39 anos,Mulher,Rural,25
2001,40 a 44 anos,Mulher,Rural,
2001,45 a 49 anos,Mulher,Rural,
2001,50 a 54 anos,Mulher,Rural,
2001,55 a 59 anos,Mulher,Rural,
2001,60 a 64 anos,Mulher,Rural,
2001,65 a 69 anos,Mulher,Rural,
2001,70 a 74 anos,Mulher,Rural,
2001,75 a 79 anos,Mulher,Rural,
2001,80 a 100 anos,Mulher,Rural,
2002,0 a 4 anos,Homem,Urbana,
2002,5 a 9 anos,Homem,Urbana,
2002,10 a 14 anos,Homem,Urbana,19
2002,15 a 19 anos,Homem,Urbana,
2002,20 a 24 anos,Homem,Urbana,
2002,25 a 29 anos,Homem,Urbana,
2002,30 a 34 anos,Homem,Urbana,
2002,35 a 39 anos,Homem,Urbana,
2002,40 a 44 anos,Homem,Urbana,10
2002,45 a 49 anos,Homem,Urbana,10
2002,50 a 54 anos,Homem,Urbana,10
2002,55 a 59 anos,Homem,Urbana,10
2002,60 a 64 anos,Homem,Urbana,
2002,65 a 69 anos,Homem,Urbana,10
2002,70 a 74 anos,Homem,Urbana,
2002,75 a 79 anos,Homem,Urbana,
2002,80 a 100 anos,Homem,Urbana,
2002,0 a 4 anos,Mulher,Urbana,
2002,5 a 9 anos,Mulher,Urbana,11
2002,10 a 14 anos,Mulher,Urbana,
2002,15 a 19 anos,Mulher,Urbana,18
2002,20 a 24 anos,Mulher,Urbana,
2002,25 a 29 anos,Mulher,Urbana,
2002,30 a 34 anos,Mulher,Urbana,21
2002,35 a 39 anos,Mulher,Urbana,
2002,40 a 44 anos,Mulher,Urbana,
2002,45 a 49 anos,Mulher,Urbana,
2002,50 a 54 anos,Mulher,Urbana,
2002,55 a 59 anos,Mulher,Urbana,
2002,60 a 64 anos,Mulher,Urbana,
2002,65 a 69 anos,Mulher,Urbana,
2002,70 a 74 anos,Mulher,Urbana,
2002,75 a 79 anos,Mulher,Urbana,
2002,80 a 100 anos,Mulher,Urbana,
2002,0 a 4 anos,Homem,Rural,
2002,5 a 9 anos,Homem,Rural,
2002,10 a 14 anos,Homem,Rural,
2002,15 a 19 anos,Homem,Rural,
