ano,idade,sexo,nascimento
2003,Menos de 15 anos,Homem,4
2003,15 a 19 anos,Homem,90
2003,15 anos,Homem,11
2003,16 anos,Homem,10
2003,17 anos,Homem,16
2003,18 anos,Homem,27
2003,19 anos,Homem,26
2003,20 a 24 anos,Homem,90
2003,20 anos,Homem,26
2003,21 anos,Homem,21
2003,22 anos,Homem,12
2003,23 anos,Homem,17
2003,24 anos,Homem,14
2003,25 a 29 anos,Homem,66
2003,25 anos,Homem,21
2003,26 anos,Homem,11
2003,27 anos,Homem,12
2003,28 anos,Homem,11
2003,29 anos,Homem,11
2003,30 a 34 anos,Homem,26
2003,30 anos,Homem,6
2003,31 anos,Homem,9
2003,32 anos,Homem,6
2003,33 anos,Homem,3
2003,34 anos,Homem,2
2003,35 a 39 anos,Homem,19
2003,35 anos,Homem,4
2003,36 anos,Homem,8
2003,37 anos,Homem,1
2003,38 anos,Homem,2
2003,39 anos,Homem,4
2003,40 a 44 anos,Homem,6
2003,40 anos,Homem,2
2003,41 anos,Homem,1
2003,42 anos,Homem,1
2003,43 anos,Homem,2
2003,44 anos,Homem,
2003,45 a 49 anos,Homem,
2003,45 anos,Homem,
2003,46 anos,Homem,
2003,47 anos,Homem,
2003,48 anos,Homem,
2003,49 anos,Homem,
2003,50 anos ou mais,Homem,
2003,Ignorada,Homem,
2003,Menos de 15 anos,Mulher,
2003,15 a 19 anos,Mulher,80
2003,15 anos,Mulher,7
2003,16 anos,Mulher,14
2003,17 anos,Mulher,15
2003,18 anos,Mulher,25
2003,19 anos,Mulher,19
2003,20 a 24 anos,Mulher,101
2003,20 anos,Mulher,23
2003,21 anos,Mulher,23
2003,22 anos,Mulher,23
2003,23 anos,Mulher,18
2003,24 anos,Mulher,14
2003,25 a 29 anos,Mulher,53
2003,25 anos,Mulher,9
2003,26 anos,Mulher,10
2003,27 anos,Mulher,16
2003,28 anos,Mulher,10
2003,29 anos,Mulher,8
2003,30 a 34 anos,Mulher,34
