ano,idade,sexo,area,pop
1970,0 a 4 anos,Homem,Urbana,384
1970,Menos de 1 ano,Homem,Urbana,
1970,0 ano,Homem,Urbana,82
1970,1 ano,Homem,Urbana,61
1970,2 anos,Homem,Urbana,96
1970,3 anos,Homem,Urbana,57
1970,4 anos,Homem,Urbana,88
1970,5 a 9 anos,Homem,Urbana,357
1970,5 anos,Homem,Urbana,56
1970,6 anos,Homem,Urbana,70
1970,7 anos,Homem,Urbana,87
1970,8 anos,Homem,Urbana,65
1970,9 anos,Homem,Urbana,79
1970,10 a 14 anos,Homem,Urbana,255
1970,10 anos,Homem,Urbana,53
1970,11 anos,Homem,Urbana,60
1970,12 anos,Homem,Urbana,53
1970,13 anos,Homem,Urbana,49
1970,14 anos,Homem,Urbana,40
1970,15 a 19 anos,Homem,Urbana,286
1970,15 anos,Homem,Urbana,74
1970,16 anos,Homem,Urbana,38
1970,17 anos,Homem,Urbana,64
1970,18 anos,Homem,Urbana,64
1970,19 anos,Homem,Urbana,46
1970,20 a 24 anos,Homem,Urbana,190
1970,20 anos,Homem,Urbana,
1970,21 anos,Homem,Urbana,
1970,22 anos,Homem,Urbana,
1970,23 anos,Homem,Urbana,
1970,24 anos,Homem,Urbana,
1970,25 a 29 anos,Homem,Urbana,102
1970,30 a 34 anos,Homem,Urbana,106
1970,35 a 39 anos,Homem,Urbana,101
1970,40 a 44 anos,Homem,Urbana,107
1970,45 a 49 anos,Homem,Urbana,82
1970,50 a 54 anos,Homem,Urbana,62
1970,55 a 59 anos,Homem,Urbana,72
1970,60 a 64 anos,Homem,Urbana,35
1970,65 a 69 anos,Homem,Urbana,43
1970,70 a 74 anos,Homem,Urbana,29
1970,75 a 79 anos,Homem,Urbana,12
1970,80 anos ou mais,Homem,Urbana,21
1970,80 a 84 anos,Homem,Urbana,
1970,85 a 89 anos,Homem,Urbana,
1970,90 a 94 anos,Homem,Urbana,
1970,95 a 99 anos,Homem,Urbana,
1970,100 anos ou mais,Homem,Urbana,
1970,Idade ignorada,Homem,Urbana,
1970,0 a 4 anos,Homem,Rural,1160
1970,Menos de 1 ano,Homem,Rural,
1970,0 ano,Homem,Rural,194
1970,1 ano,Homem,Rural,200
1970,2 anos,Homem,Rural,248
1970,3 anos,Homem,Rural,297
1970,4 anos,Homem,Rural,221
1970,5 a 9 anos,Homem,Rural,1047
1970,5 anos,Homem,Rural,217
1970,6 anos,Homem,Rural,172
1970,7 anos,Homem,Rural,236
1970,8 anos,Homem,Rural,224
1970,9 anos,Homem,Rural,198
1970,10 a 14 anos,Homem,Rural,982
1970,10 anos,Homem,Rural,191
1970,11 anos,Homem,Rural,199
1970,12 anos,Homem,Rural,229
1970,13 anos,Homem,Rural,198
1970,14 anos,Homem,Rural,165
1970,15 a 19 anos,Homem,Rural,765
1970,15 anos,Homem,Rural,176
1970,16 anos,Homem,Rural,130
1970,17 anos,Homem,Rural,136
1970,18 anos,Homem,Rural,189
1970,19 anos,Homem,Rural,134
1970,20 a 24 anos,Homem,Rural,572
1970,20 anos,Homem,Rural,
1970,21 anos,Homem,Rural,
1970,22 anos,Homem,Rural,
1970,23 anos,Homem,Rural,
1970,24 anos,Homem,Rural,
1970,25 a 29 anos,Homem,Rural,414
1970,30 a 34 anos,Homem,Rural,370
1970,35 a 39 anos,Homem,Rural,287
1970,40 a 44 anos,Homem,Rural,282
1970,45 a 49 anos,Homem,Rural,282
1970,50 a 54 anos,Homem,Rural,237
1970,55 a 59 anos,Homem,Rural,214
1970,60 a 64 anos,Homem,Rural,230
1970,65 a 69 anos,Homem,Rural,157
1970,70 a 74 anos,Homem,Rural,78
1970,75 a 79 anos,Homem,Rural,48
1970,80 anos ou mais,Homem,Rural,66
1970,80 a 84 anos,Homem,Rural,
1970,85 a 89 anos,Homem,Rural,
1970,90 a 94 anos,Homem,Rural,
1970,95 a 99 anos,Homem,Rural,
1970,100 anos ou mais,Homem,Rural,
1970,Idade ignorada,Homem,Rural,8
1970,0 a 4 anos,Mulher,Urbana,393
1970,Menos de 1 ano,Mulher,Urbana,
1970,0 ano,Mulher,Urbana,59
1970,1 ano,Mulher,Urbana,80
1970,2 anos,Mulher,Urbana,90
1970,3 anos,Mulher,Urbana,79
1970,4 anos,Mulher,Urbana,85
1970,5 a 9 anos,Mulher,Urbana,389
1970,5 anos,Mulher,Urbana,84
1970,6 anos,Mulher,Urbana,77
1970,7 anos,Mulher,Urbana,102
1970,8 anos,Mulher,Urbana,48
1970,9 anos,Mulher,Urbana,78
1970,10 a 14 anos,Mulher,Urbana,354
1970,10 anos,Mulher,Urbana,93
1970,11 anos,Mulher,Urbana,61
1970,12 anos,Mulher,Urbana,64
1970,13 anos,Mulher,Urbana,53
1970,14 anos,Mulher,Urbana,83
1970,15 a 19 anos,Mulher,Urbana,256
1970,15 anos,Mulher,Urbana,41
1970,16 anos,Mulher,Urbana,69
1970,17 anos,Mulher,Urbana,42
1970,18 anos,Mulher,Urbana,57
1970,19 anos,Mulher,Urbana,47
1970,20 a 24 anos,Mulher,Urbana,221
1970,20 anos,Mulher,Urbana,
1970,21 anos,Mulher,Urbana,
1970,22 anos,Mulher,Urbana,
1970,23 anos,Mulher,Urbana,
1970,24 anos,Mulher,Urbana,
1970,25 a 29 anos,Mulher,Urbana,153
1970,30 a 34 anos,Mulher,Urbana,181
1970,35 a 39 anos,Mulher,Urbana,90
1970,40 a 44 anos,Mulher,Urbana,63
1970,45 a 49 anos,Mulher,Urbana,97
1970,50 a 54 anos,Mulher,Urbana,98
1970,55 a 59 anos,Mulher,Urbana,72
1970,60 a 64 anos,Mulher,Urbana,23
1970,65 a 69 anos,Mulher,Urbana,37
1970,70 a 74 anos,Mulher,Urbana,30
1970,75 a 79 anos,Mulher,Urbana,22
1970,80 anos ou mais,Mulher,Urbana,25
1970,80 a 84 anos,Mulher,Urbana,
1970,85 a 89 anos,Mulher,Urbana,
1970,90 a 94 anos,Mulher,Urbana,
1970,95 a 99 anos,Mulher,Urbana,
1970,100 anos ou mais,Mulher,Urbana,
1970,Idade ignorada,Mulher,Urbana,
1970,0 a 4 anos,Mulher,Rural,1116
1970,Menos de 1 ano,Mulher,Rural,
1970,0 ano,Mulher,Rural,239
1970,1 ano,Mulher,Rural,164
1970,2 anos,Mulher,Rural,253
1970,3 anos,Mulher,Rural,240
1970,4 anos,Mulher,Rural,220
1970,5 a 9 anos,Mulher,Rural,1121
1970,5 anos,Mulher,Rural,247
1970,6 anos,Mulher,Rural,238
1970,7 anos,Mulher,Rural,235
1970,8 anos,Mulher,Rural,218
1970,9 anos,Mulher,Rural,183
1970,10 a 14 anos,Mulher,Rural,951
1970,10 anos,Mulher,Rural,260
1970,11 anos,Mulher,Rural,188
1970,12 anos,Mulher,Rural,166
1970,13 anos,Mulher,Rural,148
1970,14 anos,Mulher,Rural,189
1970,15 a 19 anos,Mulher,Rural,645
1970,15 anos,Mulher,Rural,121
1970,16 anos,Mulher,Rural,149
1970,17 anos,Mulher,Rural,112
1970,18 anos,Mulher,Rural,156
1970,19 anos,Mulher,Rural,107
1970,20 a 24 anos,Mulher,Rural,626
1970,20 anos,Mulher,Rural,
1970,21 anos,Mulher,Rural,
1970,22 anos,Mulher,Rural,
1970,23 anos,Mulher,Rural,
1970,24 anos,Mulher,Rural,
1970,25 a 29 anos,Mulher,Rural,507
1970,30 a 34 anos,Mulher,Rural,346
1970,35 a 39 anos,Mulher,Rural,378
1970,40 a 44 anos,Mulher,Rural,363
1970,45 a 49 anos,Mulher,Rural,245
1970,50 a 54 anos,Mulher,Rural,261
1970,55 a 59 anos,Mulher,Rural,182
1970,60 a 64 anos,Mulher,Rural,176
1970,65 a 69 anos,Mulher,Rural,93
1970,70 a 74 anos,Mulher,Rural,85
1970,75 a 79 anos,Mulher,Rural,55
1970,80 anos ou mais,Mulher,Rural,88
1970,80 a 84 anos,Mulher,Rural,
1970,85 a 89 anos,Mulher,Rural,
1970,90 a 94 anos,Mulher,Rural,
1970,95 a 99 anos,Mulher,Rural,
1970,100 anos ou mais,Mulher,Rural,
1970,Idade ignorada,Mulher,Rural,3
1980,0 a 4 anos,Homem,Urbana,936
1980,Menos de 1 ano,Homem,Urbana,
1980,0 ano,Homem,Urbana,225
1980,1 ano,Homem,Urbana,204
1980,2 anos,Homem,Urbana,207
1980,3 anos,Homem,Urbana,140
1980,4 anos,Homem,Urbana,160
1980,5 a 9 anos,Homem,Urbana,736
1980,5 anos,Homem,Urbana,164
1980,6 anos,Homem,Urbana,164
1980,7 anos,Homem,Urbana,158
1980,8 anos,Homem,Urbana,119
1980,9 anos,Homem,Urbana,131
1980,10 a 14 anos,Homem,Urbana,656
1980,10 anos,Homem,Urbana,132
1980,11 anos,Homem,Urbana,138
1980,12 anos,Homem,Urbana,132
1980,13 anos,Homem,Urbana,124
1980,14 anos,Homem,Urbana,130
