ano,sexo,total
2003,Homem,301
2003,Mulher,293
2004,Homem,311
2004,Mulher,308
2005,Homem,330
2005,Mulher,333
2006,Homem,281
2006,Mulher,280
2007,Homem,322
2007,Mulher,305
2008,Homem,290
2008,Mulher,277
2009,Homem,262
2009,Mulher,293
2010,Homem,255
2010,Mulher,238
2011,Homem,261
2011,Mulher,242
2012,Homem,287
2012,Mulher,280
2013,Homem,287
2013,Mulher,280
2014,Homem,252
2014,Mulher,252
2015,Homem,244
2015,Mulher,226
2016,Homem,229
2016,Mulher,216
2017,Homem,252
2017,Mulher,234
2018,Homem,247
2018,Mulher,218
2019,Homem,229
2019,Mulher,238
